sample_name,seed_2001,seed_9999,seed_42,seed_5555,seed_1994,seed_1234,seed_777,seed_1111,seed_8080,seed_3333,min,max,median,mean,p90,std_dev
Android_Android_51_output,0.2716,0.3628,0.302,0.3008,0.4498,0.4523,0.3981,0.3642,0.404,0.4682,0.2716,0.4682,0.3812,0.3774,0.4539,0.0694
3457_output,0.382,0.4474,0.5383,0.5215,0.5208,0.406,0.6617,0.49,0.4988,0.3547,0.3547,0.6617,0.4944,0.4821,0.5506,0.0895
iphone_IMG_3932_output,0.4266,0.6168,0.5396,0.4381,0.5305,0.5654,0.4843,0.4859,0.4844,0.5294,0.4266,0.6168,0.5076,0.5101,0.5705,0.0579
26309_output,0.5214,0.5393,0.5589,0.4802,0.4024,0.6189,0.6814,0.5234,0.5402,0.4495,0.4024,0.6814,0.5314,0.5316,0.6252,0.0797
Android_Android_140_output,0.637,0.4725,0.4893,0.4984,0.6332,0.4368,0.5456,0.6163,0.6706,0.5817,0.4368,0.6706,0.5636,0.5581,0.6404,0.0809
408_output,0.5928,0.5625,0.5061,0.4983,0.6173,0.6643,0.5004,0.6417,0.5123,0.5656,0.4983,0.6643,0.564,0.5661,0.644,0.0616
2100_output,0.5842,0.6206,0.5781,0.6856,0.5663,0.5384,0.6062,0.6978,0.6221,0.4665,0.4665,0.6978,0.5952,0.5966,0.6868,0.0677
24090_output,0.5423,0.665,0.5894,0.7242,0.5293,0.6736,0.5742,0.5661,0.6016,0.6296,0.5293,0.7242,0.5955,0.6095,0.6787,0.0626
3458_output,0.7003,0.4671,0.5695,0.4794,0.6469,0.7045,0.5523,0.6802,0.5478,0.6293,0.4671,0.7045,0.5994,0.5977,0.7007,0.0873
2213_output,0.6243,0.6194,0.5998,0.6083,0.6411,0.66,0.6506,0.6225,0.6545,0.6309,0.5998,0.66,0.6276,0.6311,0.655,0.0201
3719_output,0.664,0.5389,0.6137,0.4976,0.7178,0.619,0.6369,0.7871,0.7688,0.5444,0.4976,0.7871,0.628,0.6388,0.7706,0.0975
1905_output,0.5157,0.6382,0.5063,0.4089,0.7195,0.6208,0.5881,0.6535,0.6796,0.6763,0.4089,0.7195,0.6295,0.6007,0.6836,0.0965
56935_output,0.5372,0.671,0.583,0.4804,0.5949,0.7467,0.5196,0.7284,0.7332,0.7086,0.4804,0.7467,0.633,0.6303,0.7345,0.0991
25260_output,0.5946,0.6357,0.5671,0.6242,0.6442,0.6447,0.5821,0.6583,0.637,0.6351,0.5671,0.6583,0.6354,0.6223,0.6461,0.0303
16952_output,0.6317,0.6423,0.6546,0.6587,0.6306,0.663,0.6699,0.642,0.6409,0.6108,0.6108,0.6699,0.6422,0.6445,0.6637,0.0177
4140_output,0.7738,0.6198,0.6822,0.5966,0.589,0.7826,0.7399,0.8296,0.5807,0.6181,0.5807,0.8296,0.651,0.6812,0.7873,0.093
33178_output,0.7457,0.7043,0.6307,0.608,0.5389,0.773,0.7419,0.6737,0.5815,0.6219,0.5389,0.773,0.6522,0.662,0.7484,0.078
Rico_2349_output,0.6572,0.6722,0.7108,0.7658,0.6158,0.6588,0.6986,0.6975,0.6104,0.6161,0.6104,0.7658,0.6655,0.6703,0.7163,0.0496
iphone_IMG_8773_output,0.665,0.695,0.6733,0.6487,0.5926,0.6835,0.6661,0.6954,0.6899,0.6806,0.5926,0.6954,0.6769,0.669,0.695,0.0306
Android_Android_4_output,0.6066,0.6763,0.6397,0.6832,0.7072,0.6521,0.6754,0.7127,0.7081,0.7334,0.6066,0.7334,0.6798,0.6795,0.7148,0.0384
57388_output,0.6252,0.6887,0.5715,0.594,0.6846,0.6861,0.6128,0.7035,0.7288,0.6974,0.5715,0.7288,0.6854,0.6593,0.706,0.0535
Android_Android_15_output,0.7227,0.6032,0.6738,0.7073,0.7124,0.6666,0.6033,0.6359,0.7063,0.7298,0.6032,0.7298,0.6901,0.6761,0.7234,0.0478
33575_output,0.4963,0.8101,0.5734,0.6723,0.7135,0.6917,0.5825,0.6926,0.7224,0.7193,0.4963,0.8101,0.6922,0.6674,0.7312,0.0912
14976_output,0.6503,0.6901,0.6561,0.7109,0.6585,0.7137,0.7016,0.7515,0.716,0.6688,0.6503,0.7515,0.6959,0.6918,0.7195,0.0329
21727_output,0.6503,0.761,0.5591,0.4967,0.7659,0.7163,0.5383,0.7281,0.7367,0.6812,0.4967,0.7659,0.6988,0.6634,0.7615,0.0984
iphone_IMG_899828_output,0.7046,0.7461,0.6894,0.7222,0.687,0.6655,0.7095,0.6985,0.7278,0.6856,0.6655,0.7461,0.7016,0.7036,0.7296,0.0237
34217_output,0.5994,0.7737,0.6715,0.8813,0.5866,0.7903,0.7876,0.576,0.734,0.6552,0.576,0.8813,0.7028,0.7056,0.7994,0.1034
25255_output,0.6872,0.7429,0.6656,0.6898,0.6771,0.736,0.7064,0.7395,0.7121,0.7072,0.6656,0.7429,0.7068,0.7064,0.7398,0.0269
31143_output,0.5923,0.7394,0.5977,0.5999,0.7177,0.7304,0.6234,0.7765,0.7463,0.7323,0.5923,0.7765,0.7241,0.6856,0.7493,0.0728
