sample_id,seed_2001,seed_9999,seed_42,seed_5555,seed_1994,seed_1234,seed_777,seed_1111,seed_8080,seed_3333
Android_Android_140_output,1.0,0.9717,0.8169,0.8528,1.0,1.0,0.0,1.0,0.6516,0.0
24090_output,0.8274,0.8827,0.6325,0.8172,0.0,0.724,0.8475,0.9818,0.8466,0.5383
56935_output,0.9996,0.0,0.0,0.9838,1.0,1.0,1.0,0.9968,0.0,1.0
Android_Android_2_output,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9546,1.0,0.0
iphone_IMG_899828_output,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16952_output,0.3498,0.0,0.0,0.3719,0.0,0.0,0.0,0.0,0.5053,0.0
33576_output,0.8565,0.8973,0.8358,0.8835,0.0,0.0,0.4078,0.8815,0.6746,0.0
5331_output,0.8416,1.0,0.7115,0.7464,0.7964,0.7203,0.7377,0.0,0.7193,0.924
Android_Android_41_output,0.544,0.0,0.0,0.8927,0.6546,0.0,0.8982,1.0,1.0,1.0
Android_Android_15_output,1.0,1.0,0.8856,0.0,1.0,0.9674,1.0,0.0,0.7673,1.0
3719_output,0.0,1.0,1.0,1.0,1.0,0.8087,0.0,1.0,1.0,1.0
4140_output,0.0,0.7961,0.0,0.0,0.9642,0.9799,0.0,0.9207,0.5696,0.4045
57388_output,0.7116,0.792,0.8315,0.8394,0.7353,0.0,0.0,0.866,0.6156,0.881
iphone_IMG_9359_output,0.7885,0.6882,0.0,0.867,0.9579,0.8118,1.0,0.8727,0.7114,0.8641
12922_output,0.6951,0.8917,0.8104,0.9719,0.9842,0.8313,0.9706,0.7002,0.9347,0.9337
3457_output,1.0,0.0,1.0,0.9128,1.0,0.0,0.9318,0.8565,1.0,1.0
2208_output,0.7129,0.8211,0.8816,0.5181,0.9241,0.589,1.0,0.9035,0.9084,0.7232
5334_output,0.9428,0.8893,1.0,0.0,0.9308,1.0,0.9986,1.0,1.0,1.0
14976_output,0.8324,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9061,1.0
Rico_2349_output,0.0,0.0,1.0,0.0,0.0,0.0,0.9367,0.0,0.0,0.0
25260_output,0.4713,0.5565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905_output,1.0,0.0,0.0,0.0,1.0,0.0,0.9469,0.9443,0.0,0.0
56563_output,0.0,0.4495,0.7827,0.904,0.5828,0.0,1.0,0.7624,0.9861,0.7913
2213_output,1.0,0.718,0.9228,0.9882,1.0,1.0,1.0,0.7935,1.0,0.7301
Android_Android_58_output,0.0,0.7124,0.9236,0.7856,0.9554,1.0,0.0,0.0,0.0,0.0
33178_output,0.5129,0.0,0.8234,0.0,0.7536,0.6464,0.0,0.0,0.0,0.0
4240_output,0.9847,0.5712,0.9999,0.9027,0.0,0.9789,0.0,0.9671,0.9988,0.9812
408_output,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
iphone_IMG_8773_output,0.6176,0.9607,0.4785,0.7951,0.778,0.7488,0.6333,0.8503,0.6752,0.6399
31143_output,0.3594,0.7544,0.0,0.0,0.4187,0.6032,0.3987,0.368,0.993,0.0
34217_output,0.8996,0.7012,0.395,0.9313,0.8672,0.7835,0.8855,0.7448,0.7032,0.0
2100_output,0.9082,1.0,0.0,0.0,1.0,0.7855,0.7767,0.8243,0.6503,1.0
iphone_IMG_906161_output,0.6978,0.0,0.8264,0.6319,0.0,0.0,0.0,0.7893,0.823,0.0
iphone_IMG_3932_output,0.2851,1.0,0.895,0.7366,1.0,0.9166,0.6968,0.7174,1.0,0.9389
33575_output,0.6789,0.0,0.8161,0.294,0.6927,0.9984,0.4897,0.0,0.0,0.6856
3458_output,0.881,0.8809,0.8304,0.7103,0.9462,0.4949,0.6222,0.7299,0.8,0.6871
1904_output,0.754,0.8391,1.0,1.0,0.9195,0.807,1.0,0.8591,0.9075,0.824
26309_output,0.5334,0.6682,0.894,0.7255,0.7594,0.7185,0.3872,0.7944,0.0,1.0
34216_output,0.852,0.8431,0.8457,0.8138,0.0,0.7953,0.5492,0.7477,0.8366,0.7901
10249_output,0.8453,1.0,0.7416,1.0,0.8669,1.0,0.904,1.0,1.0,1.0
Android_Android_51_output,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Android_Android_4_output,0.75,0.6335,0.8639,0.4728,0.0,0.0,0.0,0.7888,0.8083,0.0
21727_output,1.0,1.0,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25255_output,0.0,0.0,0.0,0.0,0.5942,0.3634,0.0,0.0,0.0,0.0
