"Carimbo de data/hora","Which better describes your professional background?","Where are you based?","How often do you use Generative AI to assist your work tasks?","Have you tried using AI to generate UI mockups or prototypes before?","The generated interface accurately reflects the specific application type and functional context (e.g., login, onboarding, e-commerce) defined in the prompt.","The generated UI effectively balances structural adherence to the sketch with creative design generation.","The key interface elements (CTAs and titles) stand out effectively within the visual hierarchy.","The overall UI aesthetics are professional and meet current industry standards.","The generated UI is technically feasible and could be implemented by a frontend developer without major restructuring.","The quality of the generated UI meets my professional expectations for an AI-assisted design tool.","The generated interface accurately reflects the specific application type and functional context (e.g., login, onboarding, e-commerce) defined in the prompt.","The generated UI effectively balances structural adherence to the sketch with creative design generation.","The key interface elements (CTAs and titles) stand out effectively within the visual hierarchy.","The overall UI aesthetics are professional and meet current industry standards.","The generated UI is technically feasible and could be implemented by a frontend developer without major restructuring.","The quality of the generated UI meets my professional expectations for an AI-assisted design tool.","The generated interface accurately reflects the specific application type and functional context (e.g., login, onboarding, e-commerce) defined in the prompt.","The generated UI effectively balances structural adherence to the sketch with creative design generation.","The key interface elements (CTAs and titles) stand out effectively within the visual hierarchy.","The overall UI aesthetics are professional and meet current industry standards.","The generated UI is technically feasible and could be implemented by a frontend developer without major restructuring.","The quality of the generated UI meets my professional expectations for an AI-assisted design tool.","The generated interface accurately reflects the specific application type and functional context (e.g., login, onboarding, e-commerce) defined in the prompt.","The generated UI effectively balances structural adherence to the sketch with creative design generation.","The key interface elements (CTAs and titles) stand out effectively within the visual hierarchy.","The overall UI aesthetics are professional and meet current industry standards.","The generated UI is technically feasible and could be implemented by a frontend developer without major restructuring.","The quality of the generated UI meets my professional expectations for an AI-assisted design tool.","The generated interface accurately reflects the specific application type and functional context (e.g., login, onboarding, e-commerce) defined in the prompt.","The generated UI effectively balances structural adherence to the sketch with creative design generation.","The key interface elements (CTAs and titles) stand out effectively within the visual hierarchy.","The overall UI aesthetics are professional and meet current industry standards.","The generated UI is technically feasible and could be implemented by a frontend developer without major restructuring.","The quality of the generated UI meets my professional expectations for an AI-assisted design tool.","The generated interface accurately reflects the specific application type and functional context (e.g., login, onboarding, e-commerce) defined in the prompt.","The generated UI effectively balances structural adherence to the sketch with creative design generation.","The key interface elements (CTAs and titles) stand out effectively within the visual hierarchy.","The overall UI aesthetics are professional and meet current industry standards.","The generated UI is technically feasible and could be implemented by a frontend developer without major restructuring.","The quality of the generated UI meets my professional expectations for an AI-assisted design tool.","Thoughts/Comments (optional)"
"2026/03/20 12:29:48 PM GMT-3","Frontend / UI Engineer","United States of America","Daily","Yes","Strongly Agree","Agree","Neutral","Strongly Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Neutral","Agree","Disagree","Disagree","Strongly Disagree","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Neutral","Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Agree","Disagree","Neutral","Disagree","Strongly Disagree","Fun experiment! I thought the steering from the sketch generally worked OK for basic moodboarding, but I wouldn't consider it helpful for actual UI design. It would be interesting to use the results from the diffusion model to steer an autoregressive one. And just a note on the study design: the text glitches in the examples made it hard to judge whether a CTA / title was effectively represented, because most of the time the content from the prompt was just not present (or present in a very distorted form). In those situations I mostly counted the CTAs as not accurately represented."
"2026/03/20 2:07:09 PM GMT-3","Frontend / UI Engineer","United States of America","Daily","Yes","Agree","Neutral","Neutral","Neutral","Agree","Disagree","Strongly Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Neutral","Neutral","Agree","Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Strongly Disagree","A lot of these generated designs look visually like what you'd expect at first glance, but quickly fall apart upon closer inspection. I have seen better design prototypes from prompts that generate mockup UI's in code. Another approach to consider might be generating coded mockups and using a headless browser to screenshot the design. "
"2026/03/20 3:03:02 PM GMT-3","UI Designer / UX researcher","Brazil","Daily","Yes","Agree","Neutral","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Disagree","Disagree","Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Disagree","Neutral","Agree","Disagree","It was really rewarding for me to contribute to your research. I genuinely see a lot of value in the proposal.

In a few moments, I chose answers that leaned away from “agree” because some simple instructions weren’t followed. For example, Asked for London and got beach images, or requested a search bar and it didn’t appear within an e-commerce context, which I find quite important.

Congratulations on the work!"
"2026/03/20 5:06:46 PM GMT-3","Frontend / UI Engineer","Brazil","Daily","Yes","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Os resultados são bem bons, daria para usar de markup tranquilamente para desenvolver. É bem alinhado com o que os layouts de mercado e estão bem fidedignos ao pedido no prompt, a única questão é que em todos achei um pouco dificil identificar a fonte, mas nada que se tornaria um blocker, parabéns pelo trabalho."
"2026/03/20 6:52:00 PM GMT-3","UI Designer / UX researcher","United States of America","Often (a few days in a week)","Yes","Neutral","Agree","Agree","Neutral","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Neutral","""quality of the generated UI"" scored lower due to text output, generally"
"2026/03/20 7:44:25 PM GMT-3","Frontend / UI Engineer","Brazil","Daily","No","Neutral","Neutral","Disagree","Agree","Agree","Neutral","Agree","Neutral","Disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Disagree","Strongly Disagree","Neutral","Disagree","Disagree",""
"2026/03/21 1:14:38 PM GMT-3","Frontend / UI Engineer","Brazil","Daily","Yes","Neutral","Agree","Neutral","Disagree","Strongly Agree","Disagree","Agree","Agree","Agree","Disagree","Strongly Agree","Disagree","Agree","Neutral","Strongly Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Neutral","Disagree","Disagree","Disagree","Strongly Disagree","Agree","Disagree",""
"2026/03/22 2:32:13 AM GMT-3","Frontend / UI Engineer","Brazil","Daily","Yes","Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Neutral","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Neutral","Agree","Neutral",""
"2026/03/22 4:39:37 PM GMT-3","Frontend / UI Engineer","Brazil","Often (a few days in a week)","No","Agree","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Neutral","Strongly Agree","Neutral",""
"2026/03/24 8:11:48 AM GMT-3","Frontend / UI Engineer","Brazil","Daily","Yes","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Disagree","Neutral","Strongly Agree","Agree","Disagree","Neutral","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree",""
