image,similarity_score
1904_output.png,0.8853
1904_output.png,0.83
1904_output.png,0.9164
1904_output.png,0.9141
1904_output.png,0.7792
1904_output.png,0.8506
1904_output.png,0.9193
1904_output.png,0.9253
1904_output.png,0.905
1904_output.png,0.9252
1904_output.png,0.9326
1904_output.png,0.9109
1904_output.png,0.9027
1904_output.png,0.9461
1904_output.png,0.8834
1904_output.png,0.9064
1904_output.png,0.9046
1904_output.png,0.9113
1904_output.png,0.8931
1904_output.png,0.8116
1904_output.png,0.8677
1904_output.png,0.8773
1904_output.png,0.7869
1904_output.png,0.8714
1904_output.png,0.8406
1904_output.png,0.8871
1904_output.png,0.8574
1904_output.png,0.928
1904_output.png,0.8683
1904_output.png,0.9412
1904_output.png,0.8781
1904_output.png,0.8993
1904_output.png,0.8522
1904_output.png,0.9128
1904_output.png,0.8867
1904_output.png,0.8739
1904_output.png,0.8725
1904_output.png,0.8717
1904_output.png,0.8386
1904_output.png,0.9307
1904_output.png,0.8804
1904_output.png,0.8015
1904_output.png,0.8887
1904_output.png,0.8929
1904_output.png,0.8451
1904_output.png,0.8037
1904_output.png,0.8219
1904_output.png,0.7843
1904_output.png,0.8548
1904_output.png,0.8769
1904_output.png,0.8408
1904_output.png,0.8475
1904_output.png,0.9118
1904_output.png,0.791
1904_output.png,0.9064
1904_output.png,0.8147
1904_output.png,0.8954
1904_output.png,0.9334
1904_output.png,0.9573
1904_output.png,0.9536
1904_output.png,0.9092
1904_output.png,0.9148
1904_output.png,0.9034
1904_output.png,0.846
1904_output.png,0.9413
1904_output.png,0.9477
1904_output.png,0.8919
1904_output.png,0.8935
1904_output.png,0.9271
1904_output.png,0.8891
1904_output.png,0.8344
1904_output.png,0.8902
1904_output.png,0.8823
1904_output.png,0.9247
1904_output.png,0.9015
1904_output.png,0.938
1904_output.png,0.884
1904_output.png,0.9329
1904_output.png,0.9086
1904_output.png,0.9186
1904_output.png,0.8719
1904_output.png,0.9264
1904_output.png,0.9093
1904_output.png,0.908
1904_output.png,0.9331
1904_output.png,0.8978
1904_output.png,0.7609
